"Name","_wandb","val/text_to_image_R@10","val/text_to_image_mean_rank"
"SentVec default","","0.6681731684110371","30.141294005708847"
"SentVec (full)","","0.659372026641294","29.720266412940056"
"Sentvec (full)","","0.6586584205518554","29.9476688867745"
"SentVec prepro","","0.6253568030447193","35.56993339676499"
"Sent2vec chunked (full)","","0.5432921027592769","53.97811607992388"
"GPT-2 chunked meanpooler prepro2","","0.5176022835394862","54.17816365366318"
"GPT-2 chunked meanpooler prepro","","0.5073739295908658","53.3430066603235"
"CliBERT_2m_chunked_meanpooler_prepro","","0.4398192197906755","71.85608943862988"
"BioBERT_chunked_meanpooler_prepro","","0.4136536631779258","87.4210275927688"
"PubMedBERT_chunked_meanpooler_prepro","","0.3836822074215034","99.06493815413891"
"RoBERTa_chunked_meanpooler_prepro","","0.3753568030447193","99.65366317792578"
"PubMedBERT_chunked_meanpooler_prepro","","0.3665556612749762","99.5906279733587"
"BERT_chunked_meanpooler_prepro","","0.3427687916270219","121.436013320647"
"Doc2Vec  prepro","","0.3073263558515699","116.9476688867745"
"Doc2Vec","","0.30518553758325406","118.755946717412"
"SentenceTransformer_all_mpnet-base-v2","","0.280209324452902","174.82944814462417"
"Doc2vec (full)","","0.2794957183634634","129.63177925784967"
"CliBERT_2m chunked (full)","","0.2285918173168411","149.78401522359658"
"CliBERT_2m (full)","","0.16389153187440533","216.16650808753568"
"CliBERT_1m chunked (full)","","0.1631779257849667","213.35204567078972"
"BERT chunked nopooler (notes emb only)","","0.15580399619410085","293.3441960038059"
"SentenceTransformer_stsb-mpnet-base-v2 #5","","0.13748810656517602","436.8156517602284"
"SentenceTransformer_stsb-mpnet-base-v2","","0.13154138915318744","432.97645099904855"
"SentenceTransformer_stsb-mpnet-base-v2 #2","","0.13106565176022836","425.599191246432"
"CliBERT_1m (full)","","0.1148905803996194","298.23120837297813"
"SentenceTransformer_stsb-mpnet-base-v2 #3","","0.11227402473834444","463.6710275927688"
"SentenceTransformer_stsb-mpnet-base-v2 #4","","0.11108468125594673","475.4255470980019"
"RoBERTa  chunked (full)","","0.10513796384395814","309.5413891531874"
"BioELECTRA_chunked_meanpooler_prepro","","0.09086584205518554","368.42364414843007"
"SentenceTransformer_distilbert","","0.08587059942911512","545.3087535680304"
"RoBERTa (full)","","0.07040913415794481","427.2645099904853"
"BERT chunked","","0.06470028544243578","454.4702664129401"
"BioBERT chunked (full)","","0.05280685061845861","514.5523311132255"
"BERT (full)","","0.04352997145575642","557.7343006660324"
"BioBERT (full)","","0.03758325404376784","631.930066603235"
"BERT (Notes embeddings only)","","0.033539486203615604","678.2535680304472"
