"Name","_wandb","val/text_to_image_R@10","val/image_to_text_R@10"
"BERT_chunked_meanpooler_prepro","","0.3427687916270219","0.3396764985727878"
"BERT_chunked_meanpooler","","0.30899143672692675","0.31303520456707895"
"BERT_chunked_prepro","","0.2290675547098002","0.22645099904852525"
"BERT_meanpooler_prepro","","0.22240723120837297","0.2181255946717412"
"BERT_meanpooler","","0.21741198858230257","0.22288296860133203"
"BERT_chunked","","0.17174119885823025","0.18434823977164605"
"BERT_chunked_pooler_prepro","","0.10775451950523313","0.11774500475737391"
"BERT_prepro","","0.09181731684110372","0.09633682207421504"
"BERT","","0.08539486203615604","0.09372026641294004"
"BERT_chunked_pooler","","0.08206470028544244","0.08610846812559467"
"BERT_pooler_prepro","","0.05970504281636536","0.07183634633682208"
"BERT_pooler","","0.03948620361560418","0.04686013320647003"
